В России одобрили поправки в закон о воинских званиях,18:09,2025-09-24,https://lenta.ru/news/2025/09/24/v-rossii-odobrili-popravki-v-zakon-o-voinskih-zvaniyah/
Стала известна стоимость ремонта в квартире певицы МакSим,18:11,2025-09-24,https://lenta.ru/news/2025/09/24/maksim-remont/
В США признали правоту Путина,18:10,2025-09-24,https://lenta.ru/news/2025/09/24/v-ssha-priznali-pravotu-putina/
Чиновники заставили россиянку демонтировать унитаз и ходить в ведерко,18:27,2025-09-24,https://lenta.ru/news/2025/09/24/chinovniki-zastavili-rossiyanku-demontirovat-unitaz-i-hodit-v-vederko/
Российские студенты попали под уголовную статью из-за особых слов в мессенджере,18:27,2025-09-24,https://lenta.ru/news/2025/09/24/rossiyskie-studenty-popali-pod-ugolovnuyu-statyu-iz-za-osobyh-slov-v-messendzhere/
"В сгоревшем доме нашли древнеримское сокровище возрастом 1,9 тысячи лет",18:26,2025-09-24,https://lenta.ru/news/2025/09/24/arheologi-nashli-v-sgorevshem-dome-drevnerimskoe-sokrovische-vozrastom-1-9-tysyachi-let/
Трампа сравнили с бегемотом,18:26,2025-09-24,https://lenta.ru/news/2025/09/24/trampa-sravnili-s-begemotom/
Зеленский раскритиковал талибов с трибуны Генассамблеи ООН,18:23,2025-09-24,https://lenta.ru/news/2025/09/24/zelenskiy-raskritikoval-talibov-s-tribuny-genassamblei-oon/
Лавров начал встречу с главой МИД Словакии,18:22,2025-09-24,https://lenta.ru/news/2025/09/24/lavrov-nachal-vstrechu-s-glavoy-mid-slovakii/
В российском регионе местные жители поплатились за работу на иностранное государство,18:21,2025-09-24,https://lenta.ru/news/2025/09/24/v-rossiyskom-regione-mestnye-zhiteli-poplatilis-za-rabotu-na-inostrannoe-gosudarstvo/
В Белоруссии приняли британского военного атташе,18:19,2025-09-24,https://lenta.ru/news/2025/09/24/v-belorussii-prinyali-britanskogo-voennogo-attashe/
Экс-солистка группы «Тату» показала внешность дочери на фото в честь ее 21-летия,18:16,2025-09-24,https://lenta.ru/news/2025/09/24/eks-solistka-gruppy-tatu-pokazala-vneshnost-docheri-na-foto-v-chest-ee-21-letiya/
Полиция остановила Эрдогана в Нью-Йорке,18:15,2025-09-24,https://lenta.ru/news/2025/09/24/politsiya-ostanovila-erdogana-v-nyu-yorke/
Захарова посмеялась над исчезновением аккаунта известного телеканала-иноагента,18:30,2025-09-24,https://lenta.ru/news/2025/09/24/zaharova-posmeyalas-nad-izvestnym-telekanalom-inoagentom-i-sprosila-ego-o-grantah-usaid/
Зеленский пожаловался на жестокость современного оружия после удара ВСУ по Новороссийску,18:29,2025-09-24,https://lenta.ru/news/2025/09/24/zelenskiy-pozhalovalsya-na-zhestokost-sovremennogo-oruzhiya-posle-udara-vsu-po-novorossiysku/
Microsoft год пыталась исправить ошибку Windows,18:35,2025-09-24,https://lenta.ru/news/2025/09/24/windows-year/
Названа вредящая здоровью ошибка во время завтрака,18:32,2025-09-24,https://lenta.ru/news/2025/09/24/nazvana-vredyaschaya-zdorovyu-oshibka-vo-vremya-zavtraka/
Бывший президент Франции отреагировал на пятилетний приговор,15:47,2025-09-25,https://lenta.ru/news/2025/09/25/byvshiy-prezident-frantsii-otreagiroval-na-pyatiletniy-prigovor/
Отношение россиян к домашнему насилию изменилось,16:27,2025-09-25,https://lenta.ru/news/2025/09/25/otnoshenie-rossiyan-k-domashnemu-nasiliyu-izmenilos/
Генсек НАТО заявил о непрерывных поставках оружия на Украину,16:24,2025-09-25,https://lenta.ru/news/2025/09/25/gensek-nato-zayavil-o-nepreryvnyh-postavkah-oruzhiya-na-ukrainu/
В российском городе банда фейковых полицейских похищала людей,16:23,2025-09-25,https://lenta.ru/news/2025/09/25/prigovor/
Бензин в России рекордно подорожал,16:21,2025-09-25,https://lenta.ru/news/2025/09/25/benzin-v-rossii-rekordno-podorozhal/
Набиуллина назвала главный вызов для ЦБ,16:20,2025-09-25,https://lenta.ru/news/2025/09/25/nabiullina-nazvala-glavnyy-vyzov-dlya-tsb/
«Калашников» отгрузил заказчику партию «Ратников»,16:20,2025-09-25,https://lenta.ru/news/2025/09/25/kalashnikov-otgruzil-zakazchiku-partiyu-ratnikov/
Стало известно о попытках ВСУ вывести Луганскую ТЭС из строя,16:18,2025-09-25,https://lenta.ru/news/2025/09/25/stalo-izvestno-o-popytkah-vsu-vyvesti-luganskuyu-tes-iz-stroya/
Внешность Киану Ривза на новых фото описали в сети фразой «как бездомный»,16:18,2025-09-25,https://lenta.ru/news/2025/09/25/vneshnost-kianu-rivza-na-novyh-foto-opisali-v-seti-frazoy-kak-bezdomnyy/
Стала известна позиция большинства членов исполкома УЕФА по отстранению Израиля,16:17,2025-09-25,https://lenta.ru/news/2025/09/25/stala-izvestna-pozitsiya-bolshinstva-chlenov-ispolkoma-uefa-po-otstraneniyu-izrailya/
В России наказали изобразившего поросячий визг мигранта,16:17,2025-09-25,https://lenta.ru/news/2025/09/25/v-rossii-nakazali-izobrazivshego-porosyachiy-vizg-migranta/
Россиянку вместе с предполагаемым любовником обнаружили на дне карьера,16:11,2025-09-25,https://lenta.ru/news/2025/09/25/rossiyanku-vmeste-s-predpolagaemym-lyubovnikom-obnaruzhili-na-glubine-kariera/
В США опять задержали иностранного лидера,16:11,2025-09-25,https://lenta.ru/news/2025/09/25/v-ssha-opyat-zaderzhali-inostrannogo-lidera/
Появилась детальная карта продвижения российских войск в зоне СВО,16:06,2025-09-25,https://lenta.ru/news/2025/09/25/detailed-map/
Потерявшая работу после откровенного фото ведущая рассказала о невозможности обогреть дом,15:50,2025-09-25,https://lenta.ru/news/2025/09/25/poteryavshaya-rabotu-posle-otkrovennogo-foto-veduschaya-rasskazala-o-nevozmozhnosti-obogret-dom/
Умер легендарный английский рок-музыкант Дэнни Томпсон,16:42,2025-09-25,https://lenta.ru/news/2025/09/25/umer-legendarnyy-angliyskiy-rok-muzykant-denni-tompson/
Крушение бизнес-джета из-за неудачного приземления в Южной Америке попало на видео,16:41,2025-09-25,https://lenta.ru/news/2025/09/25/krushenie-biznes-dzheta-iz-za-neudachnogo-prizemleniya-v-yuzhnoy-amerike-popalo-na-video/
Украинский телеканал дорисовал слушателей в пустом зале на выступлении Зеленского в ООН,16:40,2025-09-25,https://lenta.ru/news/2025/09/25/ukrainskiy-telekanal-dorisoval-slushateley-v-pustom-zale-na-vystuplenii-zelenskogo-v-oon/
Макгрегор похвастался гонораром за участие в турнире UFC у Белого дома,16:37,2025-09-25,https://lenta.ru/news/2025/09/25/makgregor-pohvastalsya-gonorarom-za-uchastie-v-turnire-ufc-u-belogo-doma/
Xiaomi представила смартфон с двумя экранами,16:37,2025-09-25,https://lenta.ru/news/2025/09/25/ne-iphone/
В России рассказали об экспедиции к дальним планетам Солнечной системы,16:35,2025-09-25,https://lenta.ru/news/2025/09/25/v-rossii-rasskazali-ob-ekspeditsii-k-dalnim-planetam-solnechnoy-sistemy/
Назван крадущий кальций из организма напиток,16:35,2025-09-25,https://lenta.ru/news/2025/09/25/nazvan-kraduschiy-kaltsiy-iz-organizma-napitok/
Назван самый популярный у россиян регион страны для отдыха в выходные,16:33,2025-09-25,https://lenta.ru/news/2025/09/25/nazvan-samyy-populyarnyy-u-rossiyan-region-strany-dlya-otdyha-v-vyhodnye/
Москвичей возмутили непристойные медведи во дворе,16:32,2025-09-25,https://moslenta.ru/news/city/moskvichei-vozmutili-nepristoinye-medvedi-vo-dvore-25-09-2025.htm
Международные резервы России рекордно выросли,16:48,2025-09-25,https://lenta.ru/news/2025/09/25/mezhdunarodnye-rezervy-rossii-rekordno-vyrosli/
Дочь Анджелины Джоли сняли с пирсингом после смены имиджа,16:47,2025-09-25,https://lenta.ru/news/2025/09/25/doch-andzheliny-dzholi-snyali-s-pirsingom-posle-smeny-imidzha/
Молодая россиянка заменила паспорт и лишилась жилья и денег,16:45,2025-09-25,https://lenta.ru/news/2025/09/25/molodaya-rossiyanka-zamenila-pasport-i-lishilas-zhilya-i-deneg/
У гостиницы в Москве нашли без признаков жизни предполагаемого чиновника из Петербурга,16:50,2025-09-25,https://lenta.ru/news/2025/09/25/u-gostinitsy-v-moskve-nashli-bez-priznakov-zhizni-predpolagaemogo-chinovnika-iz-peterburga/
Генсек НАТО уклонился от ответа на вопрос о причастности России к инцидентам с дронами,16:50,2025-09-25,https://lenta.ru/news/2025/09/25/gensek-nato-uklonilsya-ot-otveta-na-vopros-o-prichastnosti-rossii-k-intsidentam-s-dronami/
Созданы инновационные глазные капли для восстановления сетчатки,16:49,2025-09-25,https://lenta.ru/news/2025/09/25/sozdany-innovatsionnye-glaznye-kapli-dlya-vosstanovleniya-setchatki/
Захарова высказалась о новой шпионской программе MI6 против России,16:55,2025-09-25,https://lenta.ru/news/2025/09/25/zaharova-vyskazalas-o-shpionskoy-programme-mi6-protiv-rossii/
Встречу Путина с Лукашенко назвали тусовкой,16:58,2025-09-25,https://lenta.ru/news/2025/09/25/vstrechu-putina-s-lukashenko-nazvali-tusovkoy/
Российским проектам новостроек предсказали дефолт,16:57,2025-09-25,https://lenta.ru/news/2025/09/25/rossiyskim-proektam-novostroek-predskazali-defolt/
Трамп выдвинул требование Путину,19:04,2025-09-25,https://lenta.ru/news/2025/09/25/tramp-vydvinul-trebovanie-putinu/
Российский полицейский покрывал мигрантов и их бизнес,19:10,2025-09-25,https://lenta.ru/news/2025/09/25/rossiyskiy-politseyskiy-pokryval-migrantov-i-ih-biznes/
Эффект от штрафов для коммунальщиков оценили,19:08,2025-09-25,https://lenta.ru/news/2025/09/25/jkh-schtraf/
Наземные роботы НАТО научились плавать,19:05,2025-09-25,https://lenta.ru/news/2025/09/25/nazemnye-roboty-nato-nauchilis-plavat/
Кадыров объяснил переименование трех населенных пунктов в Чечне,19:04,2025-09-25,https://lenta.ru/news/2025/09/25/kadyrov-ob-yasnil-pereimenovanie-treh-naselennyh-punktov-v-chechne/
Московский аэропорт вернулся к штатной работе после массовых задержек рейсов,19:00,2025-09-25,https://lenta.ru/news/2025/09/25/moskovskiy-aeroport-vernulsya-k-shtatnoy-rabote-posle-massovyh-zaderzhek-reysov/
Избитая в подмосковной «Пятерочке» женщина рассказала о словах нападавшего,19:00,2025-09-25,https://lenta.ru/news/2025/09/25/izbitaya-v-podmoskovnoy-pyaterochke-zhenschina-rasskazala-o-slovah-napadavshego-ee-synu/
Проехавшему с тремя мощными бомбами через 6 стран молдаванину вынесли приговор в России,18:57,2025-09-25,https://lenta.ru/news/2025/09/25/proehavshemu-s-tremya-moschnymi-bombami-cherez-6-stran-moldavaninu-vynesli-prigovor-v-rossii/
Трамп начал встречу с Эрдоганом,18:55,2025-09-25,https://lenta.ru/news/2025/09/25/tramp-nachal-vstrechu-s-erdoganom/
Старшеклассницы толпой окружили российскую школьницу и били по голове камнем,18:53,2025-09-25,https://lenta.ru/news/2025/09/25/starsheklassnitsy-tolpoy-okruzhili-rossiyskuyu-shkolnitsu-i-bili-po-golove-kamnem/
В России отреагировали на экстренное совещание генералов и адмиралов Пентагона,18:41,2025-09-25,https://lenta.ru/news/2025/09/25/v-rossii-otreagirovali-na-ekstrennoe-soveschanie-generalov-i-admiralov-pentagona/
"Мир накрыла эпидемия аутизма. В этом винят парацетамол. Действительно ли так опасно лекарство, популярное в России?",18:29,2025-09-25,https://lenta.ru/news/2025/09/25/paratsetamol/
Президент Грузии поддержал Украину,18:27,2025-09-25,https://lenta.ru/news/2025/09/25/prezident-gruzii-podderzhal-ukrainu/
Путин анонсировал запуск революционной разработки в России,18:02,2025-09-25,https://lenta.ru/news/2025/09/25/putin-anonsiroval-zapusk-revolyutsionnoy-razrabotki-v-rossii/
